Protein ID,GO ID,Category,Description
Q96ME1,GO:0005829,Cellular Component,cytosol
Q96ME1,GO:0019005,Cellular Component,SCF ubiquitin ligase complex
Q96ME1,GO:0031146,Biological Process,SCF-dependent proteasomal ubiquitin-dependent protein catabolic process
O43734,GO:0005737,Cellular Component,cytoplasm
O43734,GO:0031410,Cellular Component,cytoplasmic vesicle
O43734,GO:0031234,Cellular Component,extrinsic component of cytoplasmic side of plasma membrane
O43734,GO:0005634,Cellular Component,nucleus
O43734,GO:0005102,Molecular Function,signaling receptor binding
O43734,GO:0061630,Molecular Function,ubiquitin protein ligase activity
O43734,GO:0002344,Biological Process,B cell affinity maturation
O43734,GO:0001783,Biological Process,B cell apoptotic process
O43734,GO:0001782,Biological Process,B cell homeostasis
O43734,GO:0023035,Biological Process,CD40 signaling pathway
O43734,GO:1990959,Biological Process,eosinophil homeostasis
O43734,GO:0002447,Biological Process,eosinophil mediated immunity
O43734,GO:0001768,Biological Process,establishment of T cell polarity
O43734,GO:0007507,Biological Process,heart development
O43734,GO:0006959,Biological Process,humoral immune response
O43734,GO:0006954,Biological Process,inflammatory response
O43734,GO:0097400,Biological Process,interleukin-17-mediated signaling pathway
O43734,GO:0038173,Biological Process,interleukin-17A-mediated signaling pathway
O43734,GO:0035556,Biological Process,intracellular signal transduction
O43734,GO:0001822,Biological Process,kidney development
O43734,GO:0002269,Biological Process,leukocyte activation involved in inflammatory response
O43734,GO:0048535,Biological Process,lymph node development
O43734,GO:0048255,Biological Process,mRNA stabilization
O43734,GO:0070254,Biological Process,mucus secretion
O43734,GO:0042119,Biological Process,neutrophil activation
O43734,GO:0043123,Biological Process,positive regulation of canonical NF-kappaB signal transduction
O43734,GO:0002230,Biological Process,positive regulation of defense response to virus by host
O43734,GO:0006606,Biological Process,protein import into nucleus
O43734,GO:0070534,Biological Process,protein K63-linked ubiquitination
O43734,GO:0110012,Biological Process,protein localization to P-body
O43734,GO:0009410,Biological Process,response to xenobiotic stimulus
O43734,GO:0023019,Biological Process,signal transduction involved in regulation of gene expression
O43734,GO:0043588,Biological Process,skin development
O43734,GO:0048536,Biological Process,spleen development
O43734,GO:0030217,Biological Process,T cell differentiation
O43734,GO:0072538,Biological Process,T-helper 17 type immune response
O43734,GO:0002334,Biological Process,transitional two stage B cell differentiation
O43734,GO:0033209,Biological Process,tumor necrosis factor-mediated signaling pathway
O43734,GO:0042092,Biological Process,type 2 immune response
Q6MZQ0,GO:0031932,Cellular Component,TORC2 complex
Q6MZQ0,GO:0031625,Molecular Function,ubiquitin protein ligase binding
Q6MZQ0,GO:0034599,Biological Process,cellular response to oxidative stress
Q6MZQ0,GO:0001933,Biological Process,negative regulation of protein phosphorylation
Q6MZQ0,GO:0009968,Biological Process,negative regulation of signal transduction
Q6MZQ0,GO:0043491,Biological Process,phosphatidylinositol 3-kinase/protein kinase B signal transduction
Q6MZQ0,GO:0090316,Biological Process,positive regulation of intracellular protein transport
Q6MZQ0,GO:0061014,Biological Process,positive regulation of mRNA catabolic process
Q6MZQ0,GO:0051897,Biological Process,positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction
Q6MZQ0,GO:0001934,Biological Process,positive regulation of protein phosphorylation
Q6MZQ0,GO:0010762,Biological Process,regulation of fibroblast migration
Q6MZQ0,GO:0038203,Biological Process,TORC2 signaling
Q8NC01,GO:0005886,Cellular Component,plasma membrane
Q8NC01,GO:0030246,Molecular Function,carbohydrate binding
Q8NC01,GO:0004888,Molecular Function,transmembrane signaling receptor activity
Q8NC01,GO:0007166,Biological Process,cell surface receptor signaling pathway
Q8NC01,GO:0007165,Biological Process,signal transduction
A0A023T408,GO:0004725,Molecular Function,protein tyrosine phosphatase activity
Q9UM82,GO:0005737,Cellular Component,cytoplasm
Q9UM82,GO:0005829,Cellular Component,cytosol
Q9UM82,GO:0001650,Cellular Component,fibrillar center
Q9UM82,GO:0005654,Cellular Component,nucleoplasm
Q9UM82,GO:0044877,Molecular Function,protein-containing complex binding
Q9UM82,GO:0030159,Molecular Function,signaling receptor complex adaptor activity
Q9UM82,GO:1990381,Molecular Function,ubiquitin-specific protease binding
Q9UM82,GO:0070266,Biological Process,necroptotic process
Q9UM82,GO:0070536,Biological Process,protein K63-linked deubiquitination
Q9UM82,GO:1990108,Biological Process,protein linear deubiquitination
Q9UM82,GO:0050727,Biological Process,regulation of inflammatory response
Q9UM82,GO:0060544,Biological Process,regulation of necroptotic process
Q9UM82,GO:0010803,Biological Process,regulation of tumor necrosis factor-mediated signaling pathway
Q9UM82,GO:0072520,Biological Process,seminiferous tubule development
Q9UM82,GO:0007283,Biological Process,spermatogenesis
Q9C0D7,GO:0036464,Cellular Component,cytoplasmic ribonucleoprotein granule
Q9C0D7,GO:0005634,Cellular Component,nucleus
Q9C0D7,GO:0046872,Molecular Function,metal ion binding
Q9C0D7,GO:0003729,Molecular Function,mRNA binding
Q9C0D7,GO:0004521,Molecular Function,RNA endonuclease activity
Q13555,GO:0005954,Cellular Component,calcium- and calmodulin-dependent protein kinase complex
Q13555,GO:0005737,Cellular Component,cytoplasm
Q13555,GO:0005829,Cellular Component,cytosol
Q13555,GO:0030666,Cellular Component,endocytic vesicle membrane
Q13555,GO:0016020,Cellular Component,membrane
Q13555,GO:0043005,Cellular Component,neuron projection
Q13555,GO:0005654,Cellular Component,nucleoplasm
Q13555,GO:0033017,Cellular Component,sarcoplasmic reticulum membrane
Q13555,GO:0005524,Molecular Function,ATP binding
Q13555,GO:0004723,Molecular Function,calcium-dependent protein serine/threonine phosphatase activity
Q13555,GO:0005516,Molecular Function,calmodulin binding
Q13555,GO:0004683,Molecular Function,calmodulin-dependent protein kinase activity
Q13555,GO:0042802,Molecular Function,identical protein binding
Q13555,GO:0042803,Molecular Function,protein homodimerization activity
Q13555,GO:0106310,Molecular Function,protein serine kinase activity
Q13555,GO:0030154,Biological Process,cell differentiation
Q13555,GO:0030073,Biological Process,insulin secretion
Q13555,GO:0007399,Biological Process,nervous system development
Q13555,GO:0051924,Biological Process,regulation of calcium ion transport
